beer_name,brewery,style,abv,ibu,comment,rating,brewery_country,brewery_city,brewery_state,date
Plaid Scotch Ale,Fort George Brewery,Scotch Ale / Wee Heavy,7,0,"The best scotch ale I have ever had, still strange though.",3.25,United States,Astoria,OR,2015-09-19
The Road To Rye,Fort George Brewery,Rye Beer / Rye IPA,6,0,Missing a little flavor compared to their other IPAs but decent for a RyePA.,3,United States,Astoria,OR,2015-09-19
"Anni, Are You Oak-Aged?",Fort George Brewery,Scotch Ale / Wee Heavy,9.7,0,Meh.  All I taste is whiskey.,2.5,United States,Astoria,OR,2015-09-19
Squashed Stout,Fort George Brewery,Stout - Other,6.7,0,Interesting squash flavor.  Tastes more like a porter than a stout.,4.25,United States,Astoria,OR,2015-09-19
Eruption Imperial Red,Worthy Brewing,Red Ale - Imperial / Double,8,100,"Wow, that's an excellent red!",4.5,United States,Bend,OR,2015-09-21
Kick Axe Pale Ale,Lompoc Brewing,Pale Ale - American,5.2,40,NA,4.25,United States,Portland,OR,2015-09-21
Stout,Cerveza Ave Negra,Dark Ale,5,0,Excellent dark ale from Argentina!,4.25,Argentina,NA,NA,2015-09-23
Harvest Patch Shandy,Jacob Leinenkugel Brewing Company,Pumpkin / Yam Beer,4.2,11,Why do I continue to try these Leinie shandies...? Always mediocre.,1.75,United States,Chippewa Falls,WI,2015-09-25
Loser Pale Ale,Elysian Brewing,Pale Ale - American,7,50,A little too malty for me,3,United States,Seattle,WA,2015-09-26
Summer Honey,Angry Orchard Cider Company,Cider,5,0,Good lingering honey flavor,4,United States,Cincinnati,OH,2015-09-27
Seasonal Release Oktoberfest,Ninkasi Brewing Company,Märzen,5.9,25,First o-fest of the year and it's mighty tasty!,4.25,United States,Eugene,OR,2015-09-28
Rauchbier,Cerveza Artesanal Reina Serrana,Rauchbier,4.5,0,By far the worst beer I have ever tried.  Smoked beers are gross.,0.25,Argentina,Sierra de La Ventana,Buenos Aires,2015-09-29
Night Owl Pumpkin Ale,Elysian Brewing,Pumpkin / Yam Beer,5.9,0,The best pumpkin ale I have had (non-Porter),3.75,United States,Seattle,WA,2015-09-29
Pumpkin Wheat,Shock Top Brewing Co.,Pumpkin / Yam Beer,5.1,0,Very little flavor,2,United States,St Louis,MO,2015-09-30
Quilter's Irish Death,Iron Horse Brewery,Strong Ale - American,7.8,0,Tasty dark ale!,4.25,United States,Ellensburg,WA,2015-10-01
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Good flavors and nice pumpkin flavor,4,United States,Portland,OR,2015-10-04
Hop Stout (Hop Kitchen #10),New Belgium Brewing Company,Stout - Imperial / Double,8,100,Tasty dark IPA/stout hybrid,4.25,United States,Fort Collins,CO,2015-10-05
GravensTime,Lagunitas Brewing Company,Fruit Beer,5.8,0,Cider/IPA hybrid.  Good stuff.,3.75,United States,Petaluma,CA,2015-10-05
Vlad The Imp Aler,Cascade Brewing Company (USA),American Wild Ale,10.3,0,NA,4.25,United States,Portland,OR,2015-10-06
Apricot Ale (2014),Cascade Brewing Company (USA),Sour Ale,7.6,0,Yum!,4.5,United States,Portland,OR,2015-10-06
Cranberry (2014),Cascade Brewing Company (USA),Sour Ale,8.2,0,NA,2,United States,Portland,OR,2015-10-06
Blueberry,Cascade Brewing Company (USA),American Wild Ale,7.33,0,NA,4.25,United States,Portland,OR,2015-10-06
Blackcap Raspberry (2015),Cascade Brewing Company (USA),American Wild Ale,7.56,0,NA,4.25,United States,Portland,OR,2015-10-06
Black Bear XX,Alameda Brewing Co.,Stout - Foreign / Export,7,0,NA,4,United States,Portland,OR,2015-10-08
Evil Twin,Heretic Brewing Company,Red Ale - Imperial / Double,6.8,45,"A little flat, but good reddish flavors.",3.5,United States,Fairfield,CA,2015-10-10
Wholesome Apple,Swift Cider,Cider,6,0,"Nice, crisp apple.  Not too sweet.",4,United States,Portland,OR,2015-10-10
Evil Harvest,Crooked Fence Brewing,Pumpkin / Yam Beer,6,0,Meh.  It's OK.  Not much pumpkin flavor.,2.75,United States,Garden City,ID,2015-10-10
Original Amber Ale,Oakshire Brewing,Red Ale - American Amber / Red,5.4,24,Decent,3.75,United States,Eugene,OR,2015-10-12
Opal S.A.S.H. Cider,Cider Riot,Cider,6.9,0,Strange flavor,2,United States,Portland,OR,2015-10-14
Strawberry Fields,Bull Run Cider,Cider,6.5,0,One of best ciders I've had!,4.75,United States,Forest Grove,OR,2015-10-14
Pomegranate Cider,Two Rivers Cider Company,Cider,6.5,0,Awesome color and pom flavor,4,United States,Sacramento,CA,2015-10-14
Tart Apple,Bull Run Cider,Cider,0,0,It's just a tester.  Decent but not spectacular.,2.25,United States,Forest Grove,OR,2015-10-14
Pinup Porter,Southern Oregon Brewing (SOB),Porter - Other,5.5,30,"Decent flavor, but it is really lacking on carbonation",3.25,United States,Medford,OR,2015-10-23
Nukin' Futz,Track 7 Brewing Company,Porter - American,7.3,0,Peanut butter roasty delicious,4.25,United States,Sacramento,CA,2015-10-24
1763 West Country,Cider Riot,Cider,6.9,0,Gross,1.25,United States,Portland,OR,2015-10-24
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Not too sweet.  Great brown ale.,4.5,United States,Fort Collins,CO,2015-10-26
Vinter Varmer,Laurelwood Brewing Co.,Winter Ale,6.4,49,"Good, but it's missing some roasty flavor",3.75,United States,Portland,OR,2015-10-27
Paddle Board Porter,Cascade Lakes Brewing Company,Porter - American,5.4,34,Tasty nutty flavors.  A little rich at the end but still a good porter.,4,United States,Redmond,OR,2015-10-28
Organic Porter,Eel River Brewing Co.,Porter - American,5.8,19,"Solid.  Nothing special, but a good porter.",3.5,United States,Fortuna,CA,2015-10-29
Overcast Espresso Stout,Oakshire Brewing,Stout - Other,5.8,37,Wow.  That is an incredible coffee stout!,4.75,United States,Eugene,OR,2015-10-31
Breakfast Porter,Terminal Gravity Brewing (TG),Porter - American,5.7,40,Interesting hoppy and roasty flavors,4,United States,Enterprise,OR,2015-11-01
Cinnamon Horchata Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.5,25,"Excellent cinnamon flavors.  Not much rice milk flavor, but that might be a good sign for a beer.",4.25,United States,Denver,CO,2015-11-02
Chai Spiced Ale,Blue Moon Brewing Company,Herbed / Spiced Beer,5.4,0,A little too heavy on the spices,3,United States,Denver,CO,2015-11-05
White IPA,Blue Moon Brewing Company,IPA - White,5.9,45,"Nothing special, but not too shabby",3,United States,Denver,CO,2015-11-06
